epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,684.033,1.02444,1.10921,0.0053,0.8171,0.69476,0.81189,0.64386,0.89216,1.22249,0.00801,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,708.217,1.01666,1.11681,0.0052,0.79544,0.71175,0.81048,0.63384,0.89511,1.23819,0.00818,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,729.09,0.98513,1.10428,0.00497,0.83661,0.68144,0.79365,0.60653,1.01336,1.22568,0.00965,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,753.269,1.01217,1.11199,0.00522,0.88586,0.70473,0.7765,0.57867,1.00552,1.26897,0.00908,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,778.255,0.96581,1.08775,0.00513,0.85382,0.69477,0.74673,0.56783,0.9596,1.43861,0.00875,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,798.152,0.97048,1.07359,0.00511,0.86096,0.67267,0.73425,0.56199,0.92578,1.54577,0.00892,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,821.326,1.03521,1.0455,0.00517,0.81992,0.67973,0.75597,0.57137,0.83777,1.47464,0.00694,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,846.516,0.93559,1.02661,0.00482,0.86798,0.65655,0.78054,0.59881,0.83064,1.2372,0.00732,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,872.1,1.00408,1.0173,0.0053,0.87519,0.68753,0.77533,0.61943,0.77681,1.37267,0.00697,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,891.812,0.98113,0.97511,0.00491,0.84462,0.71579,0.79232,0.63961,0.79998,1.24703,0.00729,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,913.142,0.93652,0.96987,0.00522,0.75798,0.74005,0.78462,0.61557,0.81692,1.31118,0.00627,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,936.598,0.95691,0.94979,0.00476,0.73615,0.74877,0.79016,0.6148,0.791,1.33458,0.00594,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,961.676,0.96097,0.94522,0.0051,0.79597,0.66922,0.79648,0.65283,0.78698,1.22194,0.00668,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,983.18,0.92189,0.98363,0.00494,0.80984,0.64647,0.8099,0.66148,0.7177,1.11928,0.00604,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
